vehicle_id,service_date,repair_type,repair_cost
V00393,2026-03-30,Oil Change,152.08
V00393,2026-04-24,Oil Change,159.55
V00393,2026-03-01,Cooling System,969.19
V00393,2026-02-28,Oil Change,129.64
V00393,2026-02-13,Brake Repair,628.95
V00393,2026-03-02,Battery Replacement,397.61
V00393,2026-04-05,Oil Change,107.65
V00394,2026-01-26,Cooling System,646.59
V00394,2026-01-29,Oil Change,158.6
V00394,2026-01-23,Engine Inspection,727.78
V00394,2026-01-18,Brake Repair,558.03
V00394,2026-04-14,Oil Change,155.03
V00395,2026-03-24,Brake Repair,536.57
V00395,2026-03-05,Battery Replacement,264.67
V00395,2026-03-13,Battery Replacement,317.33
V00396,2026-03-28,Oil Change,138.75
V00396,2026-03-16,Battery Replacement,373.61
V00396,2026-04-08,Cooling System,589.84
V00396,2026-03-03,Transmission Repair,1497.15
V00396,2026-02-11,Engine Inspection,795.34
V00396,2026-02-12,Brake Repair,560.79
V00397,2026-03-01,Engine Inspection,499.33
V00398,2026-03-27,Oil Change,122.62
V00398,2026-03-12,Oil Change,155.97
V00398,2026-03-26,Engine Inspection,521.33
V00398,2026-02-15,Oil Change,128.24
V00399,2026-03-06,Brake Repair,468.61
V00399,2026-03-12,Transmission Repair,1508.12
V00400,2026-01-11,Engine Inspection,796.57
V00400,2026-03-26,Engine Inspection,789.11
V00400,2026-03-29,Oil Change,153.22
V00401,2026-03-09,Cooling System,767.65
V00401,2026-01-19,Oil Change,164.58
V00401,2026-03-02,Cooling System,753.69
V00401,2026-01-17,Brake Repair,386.68
V00401,2026-02-07,Oil Change,106.37
V00401,2026-02-18,Oil Change,141.04
V00401,2026-02-24,Brake Repair,493.95
V00402,2026-03-09,Battery Replacement,278.19
V00402,2026-02-08,Battery Replacement,402.34
V00403,2026-03-05,Engine Inspection,558.42
V00403,2026-01-24,Brake Repair,518.44
V00403,2026-02-05,Oil Change,111.18
V00403,2026-01-12,Brake Repair,416.43
V00404,2026-03-28,Engine Inspection,607.84
V00404,2026-03-01,Cooling System,772.52
V00404,2026-03-17,Battery Replacement,272.83
V00405,2026-03-23,Transmission Repair,1485.71
V00405,2026-03-22,Oil Change,118.68
V00405,2026-03-08,Cooling System,663.75
V00405,2026-02-24,Oil Change,135.45
V00405,2026-02-24,Engine Inspection,773.02
V00406,2026-01-24,Brake Repair,530.21
V00406,2026-03-23,Engine Inspection,624.43
V00407,2026-01-07,Oil Change,146.75
V00407,2026-02-25,Oil Change,133.48
V00407,2026-03-04,Transmission Repair,2078.89
V00408,2026-02-19,Oil Change,124.5
V00408,2026-01-25,Oil Change,160.66
V00409,2026-03-21,Battery Replacement,349.07
V00409,2026-01-23,Engine Inspection,528.12
V00409,2026-04-05,Engine Inspection,534.87
V00409,2026-03-01,Brake Repair,567.98
V00410,2026-03-20,Brake Repair,589.04
V00410,2026-04-06,Brake Repair,449.93
V00411,2026-01-18,Oil Change,159.87
V00411,2026-02-19,Battery Replacement,278.59
V00411,2026-03-19,Brake Repair,415.54
V00411,2026-01-14,Engine Inspection,599.06
V00411,2026-01-15,Oil Change,165.39
V00412,2026-03-21,Cooling System,737.53
V00412,2026-01-08,Brake Repair,499.04
V00412,2026-04-09,Brake Repair,516.27
V00412,2026-04-12,Transmission Repair,2160.45
V00412,2026-04-29,Brake Repair,526.38
V00412,2026-04-11,Brake Repair,510.03
V00413,2026-03-31,Oil Change,133.52
V00413,2026-04-23,Oil Change,163.17
V00413,2026-04-09,Transmission Repair,1502.95
V00413,2026-02-16,Oil Change,159.08
V00414,2026-04-15,Oil Change,119.56
V00414,2026-01-29,Cooling System,852.28
V00414,2026-02-05,Transmission Repair,1849.52
V00414,2026-01-01,Engine Inspection,693.67
V00415,2026-04-16,Engine Inspection,838.59
V00415,2026-01-24,Brake Repair,428.89
V00415,2026-01-28,Oil Change,153.67
V00415,2026-01-15,Oil Change,128.97
V00415,2026-03-22,Brake Repair,617.85
V00415,2026-03-27,Brake Repair,366.96
V00416,2026-04-06,Oil Change,147.13
V00416,2026-02-09,Brake Repair,415.87
V00417,2026-01-09,Brake Repair,387.69
V00418,2026-01-01,Battery Replacement,338.62
V00418,2026-02-11,Brake Repair,579.64
V00418,2026-01-20,Battery Replacement,417.5
V00419,2026-03-18,Oil Change,135.58
V00420,2026-03-25,Engine Inspection,684.56
V00420,2026-03-09,Oil Change,124.52
V00420,2026-01-10,Transmission Repair,1901.1
V00421,2026-02-08,Transmission Repair,2355.35
V00421,2026-04-19,Engine Inspection,816.22
V00421,2026-01-16,Engine Inspection,702.01
V00421,2026-02-27,Oil Change,111.97
V00421,2026-04-25,Battery Replacement,314.93
V00421,2026-01-16,Cooling System,969.82
V00422,2026-04-22,Battery Replacement,283.21
V00422,2026-02-22,Brake Repair,421.1
V00422,2026-04-22,Battery Replacement,394.16
V00423,2026-03-22,Brake Repair,521.89
V00423,2026-04-05,Engine Inspection,611.0
V00423,2026-03-21,Battery Replacement,394.07
V00423,2026-03-31,Brake Repair,448.15
V00424,2026-03-03,Oil Change,167.65
V00424,2026-04-17,Transmission Repair,1678.59
V00424,2026-03-15,Brake Repair,534.65
V00424,2026-03-06,Battery Replacement,286.35
V00424,2026-01-04,Oil Change,122.31
V00424,2026-01-08,Engine Inspection,554.25
V00425,2026-03-28,Engine Inspection,744.79
V00425,2026-04-06,Oil Change,130.48
V00426,2026-02-19,Oil Change,141.17
V00426,2026-04-09,Brake Repair,501.2
V00426,2026-03-10,Brake Repair,586.58
V00427,2026-03-05,Oil Change,107.23
V00427,2026-01-11,Oil Change,101.14
V00428,2026-01-21,Engine Inspection,524.94
V00428,2026-02-08,Oil Change,111.77
V00428,2026-01-09,Engine Inspection,613.04
V00428,2026-03-14,Transmission Repair,2088.2
V00428,2026-02-27,Engine Inspection,754.25
V00429,2026-01-21,Transmission Repair,1601.88
V00429,2026-03-30,Brake Repair,518.58
V00429,2026-02-08,Brake Repair,533.46
V00430,2026-01-04,Engine Inspection,515.98
V00430,2026-03-13,Transmission Repair,2033.35
V00431,2026-01-15,Brake Repair,581.37
V00431,2026-04-29,Brake Repair,471.15
V00432,2026-03-21,Oil Change,135.84
V00432,2026-02-03,Brake Repair,617.97
V00434,2026-01-25,Oil Change,101.52
V00434,2026-03-28,Brake Repair,363.38
V00434,2026-01-11,Oil Change,125.0
V00434,2026-01-24,Oil Change,137.82
V00435,2026-04-20,Oil Change,136.38
V00436,2026-02-20,Cooling System,833.46
V00436,2026-01-22,Oil Change,126.57
V00437,2026-01-08,Oil Change,138.6
V00438,2026-01-08,Battery Replacement,369.47
V00438,2026-02-23,Engine Inspection,518.4
V00438,2026-03-31,Oil Change,135.14
V00438,2026-01-16,Engine Inspection,634.75
V00438,2026-04-05,Oil Change,157.79
V00439,2026-02-15,Oil Change,157.93
V00439,2026-03-16,Battery Replacement,409.7
V00439,2026-04-16,Brake Repair,503.65
V00440,2026-04-29,Oil Change,152.04
V00440,2026-03-04,Oil Change,157.43
V00440,2026-03-05,Engine Inspection,812.22
V00440,2026-02-20,Oil Change,157.05
V00440,2026-03-14,Oil Change,167.57
V00440,2026-04-04,Oil Change,133.28
V00440,2026-01-23,Brake Repair,430.68
V00440,2026-03-13,Transmission Repair,2367.49
V00441,2026-04-28,Oil Change,119.57
V00441,2026-03-13,Cooling System,896.55
V00441,2026-01-18,Engine Inspection,643.47
V00441,2026-02-23,Oil Change,127.29
V00442,2026-01-15,Cooling System,917.57
V00443,2026-04-23,Brake Repair,543.85
V00443,2026-01-11,Brake Repair,480.08
V00444,2026-01-27,Transmission Repair,2444.05
V00444,2026-04-20,Oil Change,140.25
V00444,2026-04-28,Battery Replacement,372.5
V00444,2026-04-09,Oil Change,132.92
V00444,2026-03-10,Oil Change,104.26
V00444,2026-03-30,Engine Inspection,517.9
V00445,2026-01-28,Battery Replacement,296.89
V00445,2026-01-27,Cooling System,711.57
V00445,2026-02-05,Brake Repair,565.97
V00446,2026-02-19,Brake Repair,562.65
V00446,2026-04-19,Battery Replacement,252.03
V00447,2026-03-22,Engine Inspection,706.17
V00447,2026-01-07,Oil Change,154.37
V00447,2026-02-20,Engine Inspection,513.27
V00447,2026-04-04,Brake Repair,540.41
V00448,2026-02-12,Oil Change,102.77
V00449,2026-01-21,Oil Change,157.87
V00450,2026-03-07,Brake Repair,541.93
V00450,2026-01-04,Engine Inspection,795.0
V00451,2026-02-04,Oil Change,110.64
V00451,2026-02-01,Brake Repair,401.88
V00451,2026-04-29,Battery Replacement,391.69
V00451,2026-01-04,Battery Replacement,311.8
V00452,2026-02-09,Cooling System,905.68
V00452,2026-02-26,Battery Replacement,263.5
V00452,2026-02-20,Brake Repair,533.57
V00452,2026-04-12,Battery Replacement,416.1
V00453,2026-01-18,Oil Change,166.27
V00453,2026-02-03,Oil Change,99.99
V00453,2026-01-06,Engine Inspection,836.17
V00454,2026-04-19,Oil Change,129.39
V00454,2026-03-12,Transmission Repair,1570.17
V00454,2026-04-21,Battery Replacement,371.25
V00454,2026-02-28,Transmission Repair,2425.95
V00454,2026-01-20,Battery Replacement,250.46
V00454,2026-01-13,Oil Change,118.33
V00455,2026-04-13,Engine Inspection,542.37
V00455,2026-01-26,Engine Inspection,681.3
V00455,2026-03-22,Transmission Repair,1492.59
V00455,2026-02-22,Brake Repair,512.74
V00455,2026-01-25,Oil Change,117.64
V00455,2026-02-21,Transmission Repair,2059.95
V00456,2026-04-16,Oil Change,112.81
V00456,2026-01-05,Transmission Repair,1670.92
V00456,2026-02-05,Engine Inspection,525.27
V00456,2026-03-08,Oil Change,130.65
V00456,2026-04-10,Battery Replacement,302.92
V00457,2026-04-09,Oil Change,162.97
V00457,2026-01-29,Battery Replacement,278.88
V00458,2026-02-03,Oil Change,96.87
V00459,2026-03-03,Oil Change,101.24
V00459,2026-04-17,Battery Replacement,342.81
V00459,2026-02-08,Brake Repair,472.64
V00459,2026-01-18,Oil Change,108.19
V00460,2026-04-08,Battery Replacement,293.3
V00460,2026-01-09,Engine Inspection,802.05
V00460,2026-01-05,Oil Change,98.98
V00460,2026-01-18,Transmission Repair,2208.83
V00461,2026-02-24,Brake Repair,490.33
V00461,2026-04-14,Oil Change,167.29
V00461,2026-02-24,Oil Change,98.64
V00461,2026-03-13,Engine Inspection,704.57
V00462,2026-02-08,Battery Replacement,355.65
V00462,2026-01-06,Battery Replacement,306.32
V00462,2026-02-01,Oil Change,129.23
V00463,2026-04-09,Oil Change,106.12
V00463,2026-03-07,Oil Change,132.67
V00463,2026-03-09,Oil Change,137.68
V00463,2026-02-17,Engine Inspection,661.99
V00463,2026-01-02,Oil Change,144.47
V00463,2026-04-20,Engine Inspection,561.69
V00464,2026-04-12,Transmission Repair,2310.48
V00464,2026-03-22,Transmission Repair,1811.94
V00464,2026-04-20,Engine Inspection,723.29
V00465,2026-02-23,Engine Inspection,640.41
V00465,2026-02-09,Oil Change,150.93
V00465,2026-02-25,Transmission Repair,1466.57
V00465,2026-01-28,Battery Replacement,250.86
V00467,2026-02-21,Battery Replacement,306.59
V00467,2026-04-30,Transmission Repair,1588.53
V00468,2026-01-24,Battery Replacement,362.59
V00468,2026-03-14,Brake Repair,509.04
V00469,2026-02-07,Battery Replacement,319.94
V00469,2026-03-22,Oil Change,136.9
V00469,2026-01-12,Battery Replacement,320.6
V00469,2026-03-29,Battery Replacement,262.75
V00469,2026-01-26,Oil Change,135.14
V00470,2026-04-20,Engine Inspection,689.85
V00470,2026-04-11,Brake Repair,551.59
V00470,2026-04-02,Oil Change,96.66
V00471,2026-02-16,Oil Change,160.06
V00471,2026-01-28,Oil Change,149.12
V00471,2026-04-11,Oil Change,130.64
V00471,2026-02-22,Brake Repair,403.51
V00471,2026-04-09,Battery Replacement,311.51
V00472,2026-01-27,Battery Replacement,311.86
V00472,2026-04-19,Oil Change,154.86
V00472,2026-02-05,Brake Repair,586.41
V00473,2026-01-30,Transmission Repair,1958.46
V00473,2026-03-08,Battery Replacement,353.11
V00473,2026-01-30,Brake Repair,450.64
V00473,2026-04-21,Engine Inspection,745.69
V00474,2026-03-30,Battery Replacement,405.89
V00474,2026-01-01,Oil Change,133.36
V00475,2026-03-03,Battery Replacement,343.24
V00475,2026-02-05,Battery Replacement,323.35
V00476,2026-02-16,Oil Change,156.8
V00476,2026-04-19,Brake Repair,510.71
V00476,2026-02-10,Engine Inspection,836.05
V00476,2026-03-14,Brake Repair,470.56
V00477,2026-02-01,Transmission Repair,1943.1
V00477,2026-03-26,Oil Change,166.25
V00477,2026-04-15,Battery Replacement,265.71
V00477,2026-01-16,Oil Change,104.73
V00478,2026-02-13,Oil Change,106.06
V00479,2026-01-14,Brake Repair,572.01
V00479,2026-03-26,Brake Repair,502.57
V00480,2026-02-12,Brake Repair,507.29
V00480,2026-02-19,Engine Inspection,527.88
V00481,2026-01-04,Oil Change,128.75
V00482,2026-04-17,Transmission Repair,2098.09
V00482,2026-04-16,Oil Change,128.3
V00482,2026-01-13,Oil Change,127.5
V00483,2026-04-18,Transmission Repair,1480.03
V00483,2026-04-06,Oil Change,157.38
V00483,2026-01-16,Brake Repair,555.31
V00483,2026-03-12,Oil Change,158.46
V00483,2026-02-08,Brake Repair,584.51
V00483,2026-04-16,Engine Inspection,774.04
V00483,2026-04-28,Oil Change,145.59
V00483,2026-01-28,Oil Change,109.09
V00484,2026-01-30,Brake Repair,534.79
V00484,2026-02-13,Brake Repair,578.87
V00485,2026-04-15,Oil Change,106.09
V00485,2026-02-15,Brake Repair,438.22
V00485,2026-01-22,Brake Repair,430.8
V00485,2026-03-22,Oil Change,125.74
V00485,2026-04-19,Oil Change,160.76
V00485,2026-03-03,Oil Change,161.32
V00485,2026-04-29,Oil Change,117.51
V00485,2026-04-02,Battery Replacement,336.13
V00485,2026-02-07,Transmission Repair,1682.08
V00485,2026-02-25,Brake Repair,569.62
V00486,2026-02-11,Oil Change,100.97
V00486,2026-03-19,Battery Replacement,378.88
V00486,2026-04-25,Battery Replacement,352.39
V00486,2026-02-18,Engine Inspection,693.37
V00487,2026-04-25,Engine Inspection,518.91
V00487,2026-03-16,Battery Replacement,274.19
V00487,2026-02-22,Brake Repair,545.99
V00487,2026-04-24,Oil Change,147.93
V00487,2026-02-14,Cooling System,574.05
V00487,2026-04-27,Oil Change,109.8
V00488,2026-04-17,Battery Replacement,334.82
V00488,2026-01-11,Transmission Repair,1973.72
V00488,2026-02-27,Battery Replacement,364.5
V00489,2026-04-24,Engine Inspection,637.12
V00489,2026-03-06,Oil Change,108.5
V00490,2026-02-12,Oil Change,164.66
V00490,2026-03-26,Engine Inspection,515.19
V00491,2026-03-27,Brake Repair,581.49
V00491,2026-01-03,Brake Repair,395.58
V00492,2026-01-07,Brake Repair,370.34
V00492,2026-04-04,Oil Change,151.47
V00493,2026-04-09,Engine Inspection,768.64
V00494,2026-01-21,Engine Inspection,839.6
V00495,2026-03-06,Brake Repair,416.66
V00495,2026-02-07,Brake Repair,614.79
V00496,2026-04-22,Brake Repair,403.27
V00496,2026-02-08,Oil Change,125.06
V00497,2026-04-29,Oil Change,149.56
V00497,2026-03-08,Brake Repair,604.88
V00498,2026-02-18,Transmission Repair,1504.56
V00498,2026-03-18,Cooling System,821.82
V00499,2026-01-07,Oil Change,132.14
V00499,2026-02-24,Oil Change,123.69
V00499,2026-02-21,Oil Change,138.07
V00500,2026-02-06,Oil Change,138.43
V00500,2026-04-08,Battery Replacement,270.93
V00500,2026-03-22,Oil Change,149.54
V00500,2026-03-16,Battery Replacement,284.26
V00501,2026-04-07,Oil Change,133.97
V00501,2026-02-22,Transmission Repair,2166.57
V00501,2026-04-13,Battery Replacement,313.18
V00501,2026-02-09,Oil Change,167.9
V00502,2026-04-30,Oil Change,167.3
V00502,2026-01-25,Transmission Repair,1651.46
V00502,2026-02-06,Engine Inspection,605.17
V00502,2026-01-20,Oil Change,117.62
V00503,2026-01-15,Oil Change,106.23
V00503,2026-01-12,Oil Change,114.2
V00504,2026-03-16,Oil Change,158.82
V00504,2026-01-19,Brake Repair,376.17
V00504,2026-03-25,Oil Change,117.3
V00504,2026-04-21,Oil Change,134.78
V00504,2026-02-12,Oil Change,142.51
V00504,2026-02-27,Oil Change,118.31
V00506,2026-02-23,Cooling System,869.17
V00506,2026-04-25,Engine Inspection,651.97
V00506,2026-01-19,Battery Replacement,341.08
V00506,2026-04-19,Engine Inspection,506.76
V00506,2026-01-18,Engine Inspection,694.97
V00507,2026-04-13,Oil Change,130.84
V00507,2026-04-19,Transmission Repair,1580.01
V00507,2026-03-02,Engine Inspection,729.57
V00507,2026-01-11,Oil Change,165.6
V00507,2026-01-07,Oil Change,159.44
V00507,2026-04-17,Brake Repair,586.77
V00508,2026-04-22,Oil Change,101.32
V00509,2026-02-23,Battery Replacement,359.51
V00510,2026-03-29,Battery Replacement,329.04
V00510,2026-03-27,Cooling System,917.87
V00510,2026-02-17,Engine Inspection,662.95
V00510,2026-04-08,Brake Repair,544.2
V00511,2026-01-16,Battery Replacement,319.51
V00511,2026-01-16,Oil Change,156.03
V00512,2026-02-01,Cooling System,751.76
V00513,2026-02-04,Oil Change,123.34
V00513,2026-01-13,Oil Change,127.74
V00513,2026-04-06,Engine Inspection,744.19
V00514,2026-02-02,Oil Change,158.33
V00514,2026-04-07,Oil Change,154.5
V00514,2026-04-24,Oil Change,162.31
V00514,2026-03-07,Cooling System,673.28
V00514,2026-04-04,Battery Replacement,350.54
V00515,2026-03-15,Battery Replacement,371.03
V00515,2026-02-24,Oil Change,152.68
V00515,2026-04-06,Brake Repair,449.5
V00515,2026-04-29,Battery Replacement,395.51
V00515,2026-04-20,Transmission Repair,2000.84
V00515,2026-02-05,Engine Inspection,834.52
V00516,2026-02-26,Oil Change,164.28
V00516,2026-01-30,Battery Replacement,249.9
V00517,2026-04-17,Battery Replacement,357.79
V00517,2026-04-20,Brake Repair,388.85
V00517,2026-03-17,Transmission Repair,1759.19
V00518,2026-01-31,Oil Change,151.24
V00519,2026-03-19,Oil Change,134.8
V00519,2026-02-06,Brake Repair,571.34
V00519,2026-03-25,Brake Repair,418.86
V00519,2026-04-06,Battery Replacement,273.92
V00519,2026-04-26,Engine Inspection,694.93
V00519,2026-01-21,Brake Repair,508.83
V00521,2026-04-07,Brake Repair,393.42
V00521,2026-02-23,Battery Replacement,410.78
V00521,2026-04-15,Engine Inspection,831.31
V00521,2026-03-05,Brake Repair,607.76
V00521,2026-03-23,Oil Change,124.79
V00521,2026-01-28,Transmission Repair,2127.14
V00522,2026-01-16,Oil Change,158.58
V00522,2026-02-24,Brake Repair,391.22
V00522,2026-02-19,Battery Replacement,273.25
V00523,2026-03-27,Transmission Repair,1902.58
V00523,2026-03-27,Battery Replacement,267.04
V00523,2026-03-26,Engine Inspection,818.69
V00523,2026-01-24,Engine Inspection,833.07
V00525,2026-04-18,Transmission Repair,1485.47
V00525,2026-04-09,Cooling System,761.76
V00525,2026-02-06,Oil Change,102.78
V00525,2026-02-14,Oil Change,98.47
V00525,2026-02-23,Brake Repair,438.3
V00525,2026-04-11,Cooling System,815.52
V00525,2026-03-10,Engine Inspection,618.01
V00526,2026-02-08,Oil Change,153.0
V00526,2026-02-08,Battery Replacement,354.8
V00526,2026-04-03,Engine Inspection,590.9
V00527,2026-02-14,Battery Replacement,263.02
V00527,2026-01-10,Oil Change,112.44
V00528,2026-04-07,Transmission Repair,2386.99
V00528,2026-02-28,Brake Repair,511.82
V00528,2026-03-30,Oil Change,152.05
V00528,2026-03-20,Cooling System,875.16
V00529,2026-01-04,Battery Replacement,383.25
V00529,2026-04-08,Cooling System,795.89
V00529,2026-04-22,Oil Change,139.13
V00530,2026-02-05,Engine Inspection,587.11
V00530,2026-01-15,Engine Inspection,742.36
V00531,2026-02-02,Oil Change,98.51
V00531,2026-03-16,Oil Change,104.25
V00531,2026-03-20,Oil Change,146.02
V00531,2026-01-10,Oil Change,130.67
V00531,2026-04-23,Oil Change,114.62
V00531,2026-02-26,Battery Replacement,417.72
V00532,2026-03-17,Oil Change,167.42
V00532,2026-01-16,Brake Repair,455.44
V00532,2026-03-30,Oil Change,150.8
V00532,2026-01-23,Transmission Repair,2464.69
V00532,2026-04-10,Oil Change,166.54
V00532,2026-04-21,Transmission Repair,2379.65
V00532,2026-02-24,Brake Repair,601.28
V00533,2026-04-15,Oil Change,148.47
V00533,2026-01-26,Brake Repair,503.56
V00534,2026-01-21,Oil Change,167.64
V00534,2026-01-05,Battery Replacement,397.88
V00534,2026-02-06,Cooling System,598.02
V00534,2026-04-25,Oil Change,161.03
V00534,2026-02-21,Oil Change,113.63
V00534,2026-03-21,Oil Change,134.54
V00535,2026-04-02,Battery Replacement,340.72
V00536,2026-01-14,Engine Inspection,677.09
V00536,2026-01-17,Battery Replacement,294.33
V00536,2026-04-24,Battery Replacement,383.13
V00536,2026-01-09,Engine Inspection,686.9
V00537,2026-04-24,Battery Replacement,385.67
V00537,2026-01-28,Battery Replacement,361.07
V00537,2026-04-03,Engine Inspection,684.74
V00537,2026-01-30,Battery Replacement,261.2
V00537,2026-03-08,Brake Repair,437.38
V00538,2026-02-06,Battery Replacement,339.29
V00538,2026-03-09,Oil Change,149.79
V00538,2026-02-22,Transmission Repair,2001.16
V00538,2026-01-11,Oil Change,99.5
V00538,2026-03-30,Oil Change,111.35
V00539,2026-01-31,Oil Change,143.7
V00539,2026-02-08,Oil Change,161.99
V00539,2026-04-19,Oil Change,152.2
V00540,2026-03-15,Battery Replacement,306.42
V00540,2026-04-09,Oil Change,140.52
V00540,2026-01-14,Oil Change,104.0
V00540,2026-03-07,Brake Repair,469.08
V00540,2026-01-31,Cooling System,767.55
V00540,2026-04-11,Oil Change,110.2
V00540,2026-01-13,Engine Inspection,497.2
V00541,2026-01-20,Oil Change,163.31
V00542,2026-02-20,Battery Replacement,392.46
V00542,2026-01-11,Engine Inspection,814.93
V00543,2026-02-09,Battery Replacement,419.14
V00543,2026-03-30,Oil Change,154.32
V00543,2026-02-02,Brake Repair,446.72
V00543,2026-03-22,Brake Repair,615.01
V00543,2026-03-16,Oil Change,105.65
V00543,2026-04-17,Engine Inspection,558.54
V00544,2026-02-13,Oil Change,99.38
V00544,2026-03-11,Oil Change,107.5
V00544,2026-03-30,Oil Change,128.66
V00544,2026-03-20,Brake Repair,475.45
V00545,2026-04-26,Oil Change,161.73
V00546,2026-03-09,Oil Change,109.01
V00546,2026-04-04,Cooling System,970.16
V00546,2026-03-23,Oil Change,111.25
V00547,2026-04-28,Battery Replacement,354.76
V00547,2026-01-15,Oil Change,123.92
V00547,2026-01-31,Oil Change,113.06
V00549,2026-03-13,Transmission Repair,1964.64
V00549,2026-02-19,Brake Repair,428.44
V00549,2026-02-02,Engine Inspection,669.69
V00550,2026-03-31,Battery Replacement,338.43
V00550,2026-04-02,Cooling System,644.3
V00550,2026-02-15,Engine Inspection,658.3
V00550,2026-01-07,Brake Repair,511.56
V00551,2026-03-13,Brake Repair,522.68
V00552,2026-04-01,Oil Change,134.18
V00552,2026-01-21,Engine Inspection,605.19
V00552,2026-01-26,Battery Replacement,333.18
V00553,2026-01-22,Oil Change,113.98
V00554,2026-01-14,Battery Replacement,311.44
V00555,2026-03-03,Battery Replacement,310.92
V00555,2026-04-07,Oil Change,107.07
V00556,2026-01-23,Brake Repair,581.32
V00556,2026-03-27,Battery Replacement,362.17
V00556,2026-03-24,Engine Inspection,718.95
V00556,2026-01-11,Oil Change,158.27
V00556,2026-03-31,Engine Inspection,496.13
V00557,2026-01-26,Battery Replacement,244.54
V00557,2026-01-06,Transmission Repair,1999.2
V00557,2026-01-10,Battery Replacement,397.12
V00557,2026-03-08,Oil Change,118.45
V00558,2026-04-01,Oil Change,163.33
V00558,2026-02-22,Engine Inspection,573.55
V00558,2026-03-03,Oil Change,125.3
V00558,2026-04-15,Brake Repair,538.87
V00558,2026-03-17,Cooling System,804.61
V00560,2026-03-26,Oil Change,100.58
V00560,2026-01-24,Oil Change,101.58
V00560,2026-01-24,Oil Change,130.98
V00560,2026-01-24,Transmission Repair,1569.01
V00560,2026-01-13,Oil Change,122.08
V00561,2026-02-11,Brake Repair,594.18
V00561,2026-03-04,Oil Change,138.54
V00563,2026-03-10,Battery Replacement,246.94
V00564,2026-01-24,Engine Inspection,786.34
V00564,2026-01-12,Battery Replacement,358.04
V00564,2026-02-06,Oil Change,109.48
V00565,2026-03-22,Brake Repair,612.39
V00565,2026-03-04,Battery Replacement,417.34
V00567,2026-04-26,Oil Change,97.31
V00567,2026-01-15,Oil Change,134.05
V00568,2026-01-15,Oil Change,129.65
V00568,2026-01-06,Cooling System,710.34
V00569,2026-04-28,Oil Change,118.14
V00570,2026-01-14,Oil Change,109.38
V00570,2026-03-14,Oil Change,120.91
V00570,2026-04-11,Engine Inspection,507.83
V00571,2026-01-23,Brake Repair,430.03
V00571,2026-03-31,Oil Change,116.67
V00571,2026-02-19,Battery Replacement,323.05
V00571,2026-01-25,Brake Repair,596.5
V00571,2026-02-09,Battery Replacement,394.19
V00571,2026-02-14,Brake Repair,607.25
V00572,2026-04-01,Brake Repair,388.29
V00572,2026-01-08,Oil Change,106.85
V00572,2026-03-22,Brake Repair,575.57
V00573,2026-01-23,Engine Inspection,787.53
V00573,2026-04-06,Battery Replacement,345.89
V00574,2026-04-12,Transmission Repair,2144.21
V00575,2026-01-02,Oil Change,99.51
V00575,2026-04-19,Engine Inspection,667.16
V00575,2026-02-10,Engine Inspection,823.65
V00575,2026-03-17,Battery Replacement,342.66
V00576,2026-02-01,Cooling System,788.72
V00576,2026-02-22,Engine Inspection,602.68
V00576,2026-04-21,Brake Repair,363.51
V00576,2026-03-13,Brake Repair,447.06
V00576,2026-01-03,Battery Replacement,400.74
V00576,2026-04-27,Brake Repair,576.99
V00576,2026-01-18,Cooling System,776.57
V00576,2026-04-06,Engine Inspection,749.49
V00577,2026-03-25,Oil Change,122.62
V00577,2026-02-19,Brake Repair,567.48
V00577,2026-03-20,Battery Replacement,280.39
V00577,2026-04-09,Transmission Repair,2265.85
V00577,2026-02-02,Cooling System,843.76
V00577,2026-01-12,Oil Change,141.46
V00578,2026-02-16,Battery Replacement,336.97
V00578,2026-02-08,Oil Change,124.51
V00579,2026-03-08,Brake Repair,574.23
V00579,2026-01-09,Oil Change,166.44
V00579,2026-02-24,Oil Change,160.44
V00579,2026-04-30,Battery Replacement,290.92
V00579,2026-04-11,Transmission Repair,1727.84
V00580,2026-01-11,Transmission Repair,1879.22
V00580,2026-04-27,Engine Inspection,694.17
V00580,2026-03-21,Brake Repair,462.79
V00580,2026-03-05,Transmission Repair,1859.06
V00581,2026-03-12,Battery Replacement,408.4
V00581,2026-01-26,Brake Repair,563.46
V00581,2026-02-02,Oil Change,102.71
V00582,2026-01-27,Oil Change,109.6
V00582,2026-03-05,Brake Repair,440.39
V00583,2026-04-13,Transmission Repair,2316.73
V00583,2026-02-14,Oil Change,136.84
V00583,2026-01-05,Brake Repair,417.5
V00583,2026-04-17,Engine Inspection,564.37
V00585,2026-04-21,Oil Change,153.03
V00585,2026-04-08,Brake Repair,388.14
V00585,2026-01-08,Oil Change,149.68
V00585,2026-03-07,Engine Inspection,522.15
V00585,2026-03-19,Oil Change,122.97
V00586,2026-02-04,Oil Change,133.89
V00587,2026-04-03,Battery Replacement,310.32
V00588,2026-03-05,Oil Change,159.66
V00588,2026-03-23,Battery Replacement,308.67
V00588,2026-01-30,Oil Change,121.9
V00588,2026-02-10,Oil Change,139.71
V00588,2026-03-30,Battery Replacement,386.12
V00588,2026-01-29,Battery Replacement,266.48
V00589,2026-01-29,Oil Change,124.73
V00589,2026-03-02,Oil Change,97.12
V00589,2026-01-22,Oil Change,156.12
V00589,2026-02-02,Oil Change,147.45
V00589,2026-01-26,Cooling System,884.35
V00589,2026-01-23,Brake Repair,607.13
