ticket_id,vehicle_id,ticket_date,complaint_text,priority
T001301,V00838,2026-04-24,Check engine light is on,Low
T001302,V00840,2026-03-19,Check engine light is on,Low
T001303,V00841,2026-04-08,Vehicle overheating during route,High
T001304,V00841,2026-04-22,Vehicle idle time unusually high,Medium
T001305,V00841,2026-03-18,Brake noise reported by driver,Low
T001306,V00841,2026-03-07,No major issue reported,Low
T001307,V00841,2026-03-02,Battery warning light keeps appearing,Medium
T001308,V00842,2026-02-28,Transmission feels delayed,High
T001309,V00842,2026-01-26,No major issue reported,Medium
T001310,V00842,2026-02-17,Brake noise reported by driver,Medium
T001311,V00842,2026-04-20,Reduced acceleration reported,Medium
T001312,V00843,2026-02-25,Vehicle idle time unusually high,Medium
T001313,V00844,2026-01-15,Vehicle idle time unusually high,Low
T001314,V00846,2026-01-09,Vehicle overheating during route,High
T001315,V00848,2026-02-04,Vehicle idle time unusually high,Medium
T001316,V00848,2026-04-30,Vehicle overheating during route,High
T001317,V00848,2026-03-03,Transmission feels delayed,High
T001318,V00849,2026-03-02,Transmission feels delayed,High
T001319,V00849,2026-04-01,Oil pressure warning triggered,High
T001320,V00850,2026-01-08,Vehicle overheating during route,High
T001321,V00853,2026-02-25,Oil pressure warning triggered,High
T001322,V00853,2026-02-07,Battery warning light keeps appearing,Low
T001323,V00854,2026-04-12,Brake noise reported by driver,Medium
T001324,V00854,2026-02-24,Vehicle overheating during route,High
T001325,V00854,2026-04-14,Transmission feels delayed,High
T001326,V00855,2026-02-24,Battery warning light keeps appearing,Low
T001327,V00856,2026-01-03,Transmission feels delayed,High
T001328,V00856,2026-03-23,Brake noise reported by driver,Low
T001329,V00856,2026-04-05,Brake noise reported by driver,Low
T001330,V00856,2026-02-17,Brake noise reported by driver,Low
T001331,V00857,2026-03-04,Battery warning light keeps appearing,Low
T001332,V00857,2026-03-02,Transmission feels delayed,High
T001333,V00857,2026-02-06,Transmission feels delayed,High
T001334,V00857,2026-01-11,Brake noise reported by driver,Low
T001335,V00858,2026-02-23,Brake noise reported by driver,Medium
T001336,V00859,2026-01-06,Check engine light is on,Low
T001337,V00860,2026-03-18,Check engine light is on,Low
T001338,V00861,2026-04-14,Battery warning light keeps appearing,Medium
T001339,V00863,2026-01-28,Battery warning light keeps appearing,Medium
T001340,V00863,2026-04-19,Check engine light is on,Low
T001341,V00863,2026-02-25,Check engine light is on,Medium
T001342,V00863,2026-04-18,Vehicle idle time unusually high,Low
T001343,V00863,2026-02-27,Vehicle overheating during route,High
T001344,V00863,2026-02-02,Check engine light is on,Low
T001345,V00864,2026-04-12,Vehicle overheating during route,High
T001346,V00864,2026-01-04,Transmission feels delayed,High
T001347,V00865,2026-02-11,Vehicle overheating during route,High
T001348,V00865,2026-04-15,Brake noise reported by driver,Low
T001349,V00865,2026-03-03,No major issue reported,Medium
T001350,V00866,2026-03-03,Vehicle overheating during route,High
T001351,V00866,2026-03-29,Battery warning light keeps appearing,Low
T001352,V00866,2026-01-02,Oil pressure warning triggered,High
T001353,V00867,2026-03-05,Brake noise reported by driver,Low
T001354,V00867,2026-04-17,Oil pressure warning triggered,High
T001355,V00868,2026-04-08,Transmission feels delayed,High
T001356,V00868,2026-04-09,Vehicle overheating during route,High
T001357,V00868,2026-01-20,Check engine light is on,Low
T001358,V00868,2026-01-07,Oil pressure warning triggered,High
T001359,V00868,2026-04-13,Brake noise reported by driver,Medium
T001360,V00869,2026-04-06,Battery warning light keeps appearing,Low
T001361,V00870,2026-03-20,Vehicle idle time unusually high,Medium
T001362,V00870,2026-04-10,Check engine light is on,Low
T001363,V00871,2026-02-26,Vehicle idle time unusually high,Low
T001364,V00871,2026-03-29,Vehicle overheating during route,High
T001365,V00872,2026-01-10,No major issue reported,Medium
T001366,V00872,2026-04-19,Battery warning light keeps appearing,Medium
T001367,V00872,2026-02-27,Brake noise reported by driver,Low
T001368,V00872,2026-01-30,Vehicle overheating during route,High
T001369,V00873,2026-02-20,Reduced acceleration reported,Low
T001370,V00873,2026-01-07,Vehicle idle time unusually high,Medium
T001371,V00874,2026-02-03,Brake noise reported by driver,Medium
T001372,V00874,2026-02-04,No major issue reported,Low
T001373,V00874,2026-01-27,Brake noise reported by driver,Low
T001374,V00874,2026-01-13,Vehicle idle time unusually high,Medium
T001375,V00874,2026-04-07,Reduced acceleration reported,Low
T001376,V00875,2026-04-15,Transmission feels delayed,High
T001377,V00877,2026-01-09,Oil pressure warning triggered,High
T001378,V00878,2026-01-13,Check engine light is on,Low
T001379,V00879,2026-04-25,Brake noise reported by driver,Low
T001380,V00879,2026-03-14,Oil pressure warning triggered,High
T001381,V00879,2026-03-07,Oil pressure warning triggered,High
T001382,V00880,2026-03-15,Check engine light is on,Medium
T001383,V00881,2026-02-08,No major issue reported,Medium
T001384,V00882,2026-04-01,Transmission feels delayed,High
T001385,V00882,2026-01-25,Oil pressure warning triggered,High
T001386,V00882,2026-04-15,No major issue reported,Low
T001387,V00882,2026-02-26,Check engine light is on,Low
T001388,V00884,2026-02-07,Vehicle idle time unusually high,Low
T001389,V00885,2026-01-10,Reduced acceleration reported,Low
T001390,V00885,2026-01-01,Battery warning light keeps appearing,Low
T001391,V00888,2026-01-23,Brake noise reported by driver,Low
T001392,V00888,2026-03-02,Transmission feels delayed,High
T001393,V00888,2026-01-26,Brake noise reported by driver,Low
T001394,V00888,2026-02-14,No major issue reported,Medium
T001395,V00888,2026-01-04,No major issue reported,Low
T001396,V00889,2026-03-27,Transmission feels delayed,High
T001397,V00890,2026-04-14,Transmission feels delayed,High
T001398,V00890,2026-02-27,Check engine light is on,Low
T001399,V00892,2026-02-17,Check engine light is on,Low
T001400,V00892,2026-02-15,Battery warning light keeps appearing,Low
T001401,V00893,2026-03-02,Transmission feels delayed,High
T001402,V00893,2026-01-18,No major issue reported,Low
T001403,V00893,2026-03-16,Vehicle idle time unusually high,Medium
T001404,V00894,2026-01-18,Battery warning light keeps appearing,Medium
T001405,V00894,2026-01-04,Transmission feels delayed,High
T001406,V00895,2026-04-18,Check engine light is on,Medium
T001407,V00895,2026-01-19,Transmission feels delayed,High
T001408,V00896,2026-03-15,No major issue reported,Low
T001409,V00896,2026-01-06,No major issue reported,Low
T001410,V00896,2026-03-13,Transmission feels delayed,High
T001411,V00896,2026-03-20,Battery warning light keeps appearing,Medium
T001412,V00896,2026-03-30,Oil pressure warning triggered,High
T001413,V00896,2026-01-15,Check engine light is on,Low
T001414,V00898,2026-04-16,Vehicle overheating during route,High
T001415,V00898,2026-01-09,Vehicle overheating during route,High
T001416,V00899,2026-04-01,Check engine light is on,Low
T001417,V00899,2026-02-28,Vehicle overheating during route,High
T001418,V00899,2026-02-02,Check engine light is on,Medium
T001419,V00899,2026-02-14,Vehicle idle time unusually high,Medium
T001420,V00899,2026-02-09,Vehicle overheating during route,High
T001421,V00900,2026-03-29,Vehicle idle time unusually high,Medium
T001422,V00901,2026-04-09,No major issue reported,Low
T001423,V00901,2026-02-08,Transmission feels delayed,High
T001424,V00901,2026-04-20,Battery warning light keeps appearing,Low
T001425,V00901,2026-02-21,Transmission feels delayed,High
T001426,V00902,2026-04-15,No major issue reported,Low
T001427,V00904,2026-02-16,No major issue reported,Medium
T001428,V00905,2026-04-24,Reduced acceleration reported,Low
T001429,V00905,2026-02-25,Vehicle idle time unusually high,Low
T001430,V00906,2026-02-06,Vehicle idle time unusually high,Medium
T001431,V00907,2026-01-21,Vehicle idle time unusually high,Medium
T001432,V00907,2026-04-13,Battery warning light keeps appearing,Medium
T001433,V00907,2026-02-02,Brake noise reported by driver,Low
T001434,V00907,2026-03-17,Vehicle overheating during route,High
T001435,V00908,2026-01-05,Brake noise reported by driver,Medium
T001436,V00908,2026-01-09,Brake noise reported by driver,Low
T001437,V00908,2026-02-03,Check engine light is on,Medium
T001438,V00908,2026-01-07,Reduced acceleration reported,Medium
T001439,V00908,2026-04-21,Reduced acceleration reported,Low
T001440,V00908,2026-01-28,Reduced acceleration reported,Low
T001441,V00909,2026-02-04,Battery warning light keeps appearing,Low
T001442,V00909,2026-02-02,Battery warning light keeps appearing,Low
T001443,V00909,2026-02-06,Check engine light is on,Medium
T001444,V00909,2026-02-03,Transmission feels delayed,High
T001445,V00909,2026-01-20,Brake noise reported by driver,Low
T001446,V00909,2026-02-01,Oil pressure warning triggered,High
T001447,V00910,2026-02-10,Vehicle idle time unusually high,Medium
T001448,V00910,2026-02-09,Vehicle idle time unusually high,Low
T001449,V00910,2026-01-31,Reduced acceleration reported,Low
T001450,V00911,2026-04-14,Check engine light is on,Medium
T001451,V00911,2026-04-03,Transmission feels delayed,High
T001452,V00911,2026-03-22,Transmission feels delayed,High
T001453,V00911,2026-04-19,Check engine light is on,Medium
T001454,V00912,2026-01-23,Check engine light is on,Low
T001455,V00913,2026-02-14,Battery warning light keeps appearing,Medium
T001456,V00913,2026-03-05,No major issue reported,Low
T001457,V00914,2026-04-19,Vehicle overheating during route,High
T001458,V00916,2026-02-06,Vehicle idle time unusually high,Low
T001459,V00916,2026-04-25,Brake noise reported by driver,Medium
T001460,V00917,2026-04-18,Vehicle overheating during route,High
T001461,V00918,2026-04-06,Brake noise reported by driver,Medium
T001462,V00918,2026-01-08,Check engine light is on,Low
T001463,V00920,2026-03-04,Brake noise reported by driver,Medium
T001464,V00920,2026-03-20,Vehicle overheating during route,High
T001465,V00920,2026-02-01,Vehicle overheating during route,High
T001466,V00920,2026-02-07,Reduced acceleration reported,Medium
T001467,V00921,2026-02-03,Oil pressure warning triggered,High
T001468,V00921,2026-01-04,Reduced acceleration reported,Medium
T001469,V00921,2026-01-11,Oil pressure warning triggered,High
T001470,V00922,2026-02-11,Battery warning light keeps appearing,Medium
T001471,V00922,2026-04-11,Oil pressure warning triggered,High
T001472,V00923,2026-02-12,No major issue reported,Low
T001473,V00924,2026-04-14,No major issue reported,Medium
T001474,V00925,2026-01-30,Vehicle overheating during route,High
T001475,V00925,2026-04-15,Check engine light is on,Low
T001476,V00925,2026-03-18,Battery warning light keeps appearing,Medium
T001477,V00926,2026-02-23,Oil pressure warning triggered,High
T001478,V00926,2026-04-28,Brake noise reported by driver,Medium
T001479,V00927,2026-03-25,No major issue reported,Medium
T001480,V00927,2026-02-01,No major issue reported,Low
T001481,V00927,2026-02-22,Battery warning light keeps appearing,Low
T001482,V00928,2026-04-22,Transmission feels delayed,High
T001483,V00928,2026-04-16,Reduced acceleration reported,Low
T001484,V00928,2026-01-22,Vehicle overheating during route,High
T001485,V00928,2026-03-07,Brake noise reported by driver,Medium
T001486,V00928,2026-03-08,Check engine light is on,Low
T001487,V00928,2026-03-01,Vehicle overheating during route,High
T001488,V00929,2026-02-03,Check engine light is on,Low
T001489,V00930,2026-03-21,Check engine light is on,Medium
T001490,V00930,2026-01-19,Transmission feels delayed,High
T001491,V00930,2026-02-05,Vehicle overheating during route,High
T001492,V00932,2026-04-12,Brake noise reported by driver,Medium
T001493,V00933,2026-03-09,Battery warning light keeps appearing,Medium
T001494,V00933,2026-01-26,Check engine light is on,Medium
T001495,V00933,2026-03-17,Battery warning light keeps appearing,Medium
T001496,V00933,2026-02-16,Check engine light is on,Medium
T001497,V00933,2026-04-04,Check engine light is on,Low
T001498,V00934,2026-02-17,Oil pressure warning triggered,High
T001499,V00935,2026-02-24,Vehicle idle time unusually high,Low
T001500,V00935,2026-04-02,Battery warning light keeps appearing,Medium
T001501,V00935,2026-04-18,Reduced acceleration reported,Medium
T001502,V00936,2026-01-13,Vehicle idle time unusually high,Low
T001503,V00936,2026-03-24,Brake noise reported by driver,Medium
T001504,V00938,2026-01-24,No major issue reported,Low
T001505,V00938,2026-03-20,Vehicle overheating during route,High
T001506,V00941,2026-02-10,Oil pressure warning triggered,High
T001507,V00941,2026-02-16,Check engine light is on,Medium
T001508,V00941,2026-04-24,Vehicle overheating during route,High
T001509,V00941,2026-04-03,Reduced acceleration reported,Medium
T001510,V00941,2026-03-14,Reduced acceleration reported,Low
T001511,V00943,2026-02-27,Oil pressure warning triggered,High
T001512,V00944,2026-01-04,Transmission feels delayed,High
T001513,V00946,2026-03-28,Brake noise reported by driver,Low
T001514,V00946,2026-02-27,Brake noise reported by driver,Low
T001515,V00946,2026-03-26,Transmission feels delayed,High
T001516,V00946,2026-04-17,Vehicle overheating during route,High
T001517,V00947,2026-04-11,Transmission feels delayed,High
T001518,V00950,2026-04-28,Check engine light is on,Low
T001519,V00953,2026-03-13,Oil pressure warning triggered,High
T001520,V00953,2026-03-06,Vehicle idle time unusually high,Low
T001521,V00954,2026-01-14,Battery warning light keeps appearing,Low
T001522,V00954,2026-01-05,No major issue reported,Low
T001523,V00956,2026-02-19,Battery warning light keeps appearing,Low
T001524,V00956,2026-03-04,No major issue reported,Low
T001525,V00957,2026-04-04,Oil pressure warning triggered,High
T001526,V00957,2026-01-03,Battery warning light keeps appearing,Low
T001527,V00957,2026-01-21,Oil pressure warning triggered,High
T001528,V00958,2026-03-30,Vehicle idle time unusually high,Low
T001529,V00958,2026-03-09,Transmission feels delayed,High
T001530,V00958,2026-01-18,No major issue reported,Low
T001531,V00958,2026-03-05,Vehicle idle time unusually high,Low
T001532,V00959,2026-01-02,Check engine light is on,Low
T001533,V00959,2026-04-20,No major issue reported,Low
T001534,V00960,2026-01-18,Battery warning light keeps appearing,Medium
T001535,V00961,2026-01-15,Vehicle idle time unusually high,Low
T001536,V00962,2026-03-11,Brake noise reported by driver,Low
T001537,V00962,2026-02-03,Oil pressure warning triggered,High
T001538,V00962,2026-03-17,Reduced acceleration reported,Low
T001539,V00962,2026-04-30,Brake noise reported by driver,Low
T001540,V00962,2026-04-24,Reduced acceleration reported,Low
T001541,V00962,2026-03-25,Brake noise reported by driver,Medium
T001542,V00962,2026-04-26,Brake noise reported by driver,Medium
T001543,V00963,2026-01-08,Brake noise reported by driver,Medium
T001544,V00963,2026-03-20,Battery warning light keeps appearing,Medium
T001545,V00963,2026-02-09,Reduced acceleration reported,Medium
T001546,V00963,2026-03-14,Reduced acceleration reported,Medium
T001547,V00964,2026-04-05,No major issue reported,Low
T001548,V00966,2026-03-31,Vehicle idle time unusually high,Medium
T001549,V00966,2026-04-27,Reduced acceleration reported,Medium
T001550,V00967,2026-01-05,Oil pressure warning triggered,High
T001551,V00968,2026-01-01,Oil pressure warning triggered,High
T001552,V00968,2026-01-27,Transmission feels delayed,High
T001553,V00969,2026-02-12,Reduced acceleration reported,Medium
T001554,V00969,2026-01-09,Brake noise reported by driver,Low
T001555,V00971,2026-03-22,Brake noise reported by driver,Medium
T001556,V00972,2026-04-22,Transmission feels delayed,High
T001557,V00973,2026-02-27,Check engine light is on,Medium
T001558,V00974,2026-02-07,Brake noise reported by driver,Medium
T001559,V00975,2026-04-29,No major issue reported,Low
T001560,V00975,2026-03-09,Transmission feels delayed,High
T001561,V00975,2026-02-13,Vehicle idle time unusually high,Low
T001562,V00975,2026-03-12,Vehicle idle time unusually high,Low
T001563,V00979,2026-01-03,Reduced acceleration reported,Low
T001564,V00979,2026-03-20,No major issue reported,Low
T001565,V00979,2026-03-26,Vehicle overheating during route,High
T001566,V00981,2026-04-19,Brake noise reported by driver,Low
T001567,V00983,2026-03-11,Check engine light is on,Medium
T001568,V00983,2026-01-17,Battery warning light keeps appearing,Low
T001569,V00983,2026-04-05,No major issue reported,Low
T001570,V00984,2026-02-12,Reduced acceleration reported,Medium
T001571,V00984,2026-04-06,Vehicle overheating during route,High
T001572,V00985,2026-04-23,Transmission feels delayed,High
T001573,V00985,2026-03-25,Check engine light is on,Low
T001574,V00986,2026-02-07,Transmission feels delayed,High
T001575,V00986,2026-04-20,Brake noise reported by driver,Medium
T001576,V00988,2026-02-25,Brake noise reported by driver,Medium
T001577,V00989,2026-01-17,Check engine light is on,Low
T001578,V00989,2026-01-15,Transmission feels delayed,High
T001579,V00989,2026-01-11,Transmission feels delayed,High
T001580,V00991,2026-04-01,Vehicle overheating during route,High
T001581,V00991,2026-04-23,Vehicle overheating during route,High
T001582,V00992,2026-03-01,No major issue reported,Medium
T001583,V00992,2026-02-17,Transmission feels delayed,High
T001584,V00993,2026-02-09,Brake noise reported by driver,Medium
T001585,V00993,2026-01-16,Reduced acceleration reported,Low
T001586,V00993,2026-04-07,Brake noise reported by driver,Low
T001587,V00994,2026-02-08,Transmission feels delayed,High
T001588,V00995,2026-01-16,Check engine light is on,Medium
T001589,V00997,2026-01-29,Oil pressure warning triggered,High
T001590,V00997,2026-02-26,Vehicle idle time unusually high,Medium
T001591,V00997,2026-04-22,Vehicle overheating during route,High
T001592,V01000,2026-02-28,Vehicle overheating during route,High
T001593,V01001,2026-01-26,Check engine light is on,Low
T001594,V01002,2026-03-11,Check engine light is on,Low
T001595,V01002,2026-04-16,Vehicle idle time unusually high,Low
T001596,V01002,2026-04-19,Reduced acceleration reported,Low
T001597,V01003,2026-02-09,Brake noise reported by driver,Medium
T001598,V01004,2026-02-27,Vehicle idle time unusually high,Low
T001599,V01004,2026-01-12,Vehicle idle time unusually high,Low
T001600,V01006,2026-01-17,Check engine light is on,Low
T001601,V01006,2026-03-10,Vehicle idle time unusually high,Low
T001602,V01007,2026-04-19,Check engine light is on,Low
T001603,V01007,2026-01-10,Reduced acceleration reported,Medium
T001604,V01008,2026-02-06,Reduced acceleration reported,Low
T001605,V01011,2026-04-05,Brake noise reported by driver,Low
T001606,V01011,2026-04-14,Check engine light is on,Low
T001607,V01012,2026-04-02,Transmission feels delayed,High
T001608,V01013,2026-02-16,Brake noise reported by driver,Low
T001609,V01014,2026-02-15,Oil pressure warning triggered,High
T001610,V01014,2026-02-13,Transmission feels delayed,High
T001611,V01014,2026-02-06,Battery warning light keeps appearing,Low
T001612,V01015,2026-01-25,Transmission feels delayed,High
T001613,V01015,2026-03-08,Battery warning light keeps appearing,Low
T001614,V01015,2026-03-18,Transmission feels delayed,High
T001615,V01015,2026-04-18,Oil pressure warning triggered,High
T001616,V01016,2026-03-16,Battery warning light keeps appearing,Medium
T001617,V01016,2026-01-31,Battery warning light keeps appearing,Low
T001618,V01016,2026-04-22,Transmission feels delayed,High
T001619,V01018,2026-02-11,Vehicle overheating during route,High
T001620,V01018,2026-04-27,Battery warning light keeps appearing,Low
T001621,V01019,2026-03-12,No major issue reported,Low
T001622,V01019,2026-03-10,Brake noise reported by driver,Medium
T001623,V01019,2026-02-23,Transmission feels delayed,High
T001624,V01020,2026-04-25,Vehicle idle time unusually high,Medium
T001625,V01021,2026-03-25,Check engine light is on,Medium
T001626,V01022,2026-01-31,No major issue reported,Low
T001627,V01022,2026-02-03,Vehicle idle time unusually high,Low
T001628,V01023,2026-03-26,Brake noise reported by driver,Low
T001629,V01023,2026-01-29,Reduced acceleration reported,Low
T001630,V01024,2026-01-10,No major issue reported,Low
T001631,V01024,2026-01-05,Check engine light is on,Low
T001632,V01024,2026-04-22,No major issue reported,Low
T001633,V01025,2026-04-11,Vehicle overheating during route,High
T001634,V01028,2026-04-03,Reduced acceleration reported,Medium
T001635,V01029,2026-01-08,Check engine light is on,Medium
T001636,V01030,2026-02-19,No major issue reported,Medium
T001637,V01030,2026-04-11,Battery warning light keeps appearing,Low
T001638,V01031,2026-04-04,Reduced acceleration reported,Medium
T001639,V01031,2026-04-25,Oil pressure warning triggered,High
T001640,V01031,2026-02-05,Transmission feels delayed,High
T001641,V01032,2026-01-14,Oil pressure warning triggered,High
T001642,V01032,2026-03-05,Brake noise reported by driver,Low
T001643,V01032,2026-03-29,Brake noise reported by driver,Low
T001644,V01035,2026-01-10,Brake noise reported by driver,Low
T001645,V01037,2026-01-10,Brake noise reported by driver,Medium
T001646,V01037,2026-02-12,Oil pressure warning triggered,High
T001647,V01037,2026-03-31,Reduced acceleration reported,Low
T001648,V01039,2026-01-06,Vehicle overheating during route,High
T001649,V01040,2026-01-21,Vehicle overheating during route,High
T001650,V01042,2026-01-21,Battery warning light keeps appearing,Medium
T001651,V01042,2026-01-26,Transmission feels delayed,High
T001652,V01042,2026-03-03,Vehicle idle time unusually high,Low
T001653,V01042,2026-03-07,Battery warning light keeps appearing,Medium
T001654,V01042,2026-03-03,Vehicle overheating during route,High
T001655,V01043,2026-04-04,Vehicle idle time unusually high,Medium
T001656,V01043,2026-03-17,Battery warning light keeps appearing,Medium
T001657,V01044,2026-01-10,Transmission feels delayed,High
T001658,V01045,2026-01-23,Brake noise reported by driver,Low
T001659,V01046,2026-02-07,Vehicle idle time unusually high,Low
T001660,V01046,2026-03-16,Transmission feels delayed,High
T001661,V01046,2026-01-18,Brake noise reported by driver,Low
T001662,V01047,2026-01-04,No major issue reported,Medium
T001663,V01048,2026-04-13,Reduced acceleration reported,Medium
T001664,V01048,2026-04-23,Vehicle overheating during route,High
T001665,V01049,2026-04-03,Oil pressure warning triggered,High
T001666,V01050,2026-02-28,No major issue reported,Low
T001667,V01051,2026-02-22,Oil pressure warning triggered,High
T001668,V01051,2026-02-28,Vehicle overheating during route,High
T001669,V01051,2026-03-11,Check engine light is on,Medium
T001670,V01052,2026-04-04,Battery warning light keeps appearing,Low
T001671,V01052,2026-01-11,Transmission feels delayed,High
T001672,V01052,2026-03-13,Transmission feels delayed,High
T001673,V01053,2026-01-15,Reduced acceleration reported,Low
T001674,V01054,2026-04-24,Battery warning light keeps appearing,Medium
T001675,V01054,2026-01-21,Vehicle idle time unusually high,Medium
T001676,V01054,2026-01-17,Transmission feels delayed,High
T001677,V01055,2026-02-04,Oil pressure warning triggered,High
T001678,V01056,2026-04-17,Battery warning light keeps appearing,Low
T001679,V01056,2026-02-23,Vehicle idle time unusually high,Medium
T001680,V01056,2026-02-26,Transmission feels delayed,High
T001681,V01057,2026-01-16,Brake noise reported by driver,Medium
T001682,V01057,2026-03-08,Transmission feels delayed,High
T001683,V01058,2026-03-22,Reduced acceleration reported,Medium
T001684,V01058,2026-03-31,Brake noise reported by driver,Low
T001685,V01059,2026-02-24,Reduced acceleration reported,Low
T001686,V01059,2026-01-26,Oil pressure warning triggered,High
T001687,V01060,2026-03-29,No major issue reported,Low
T001688,V01060,2026-04-16,Oil pressure warning triggered,High
T001689,V01060,2026-04-26,Battery warning light keeps appearing,Low
T001690,V01060,2026-04-24,Reduced acceleration reported,Medium
T001691,V01060,2026-03-18,Transmission feels delayed,High
T001692,V01061,2026-01-21,Oil pressure warning triggered,High
T001693,V01061,2026-04-20,Transmission feels delayed,High
T001694,V01061,2026-03-30,Reduced acceleration reported,Low
T001695,V01062,2026-03-08,No major issue reported,Low
T001696,V01064,2026-04-14,Vehicle overheating during route,High
T001697,V01064,2026-04-20,Reduced acceleration reported,Medium
T001698,V01067,2026-01-14,Battery warning light keeps appearing,Medium
T001699,V01067,2026-01-20,No major issue reported,Medium
T001700,V01067,2026-04-02,Reduced acceleration reported,Medium
T001701,V01067,2026-03-24,Battery warning light keeps appearing,Low
T001702,V01067,2026-01-19,Vehicle overheating during route,High
T001703,V01068,2026-01-01,Battery warning light keeps appearing,Low
T001704,V01068,2026-03-04,Vehicle overheating during route,High
T001705,V01068,2026-03-29,Check engine light is on,Medium
T001706,V01068,2026-02-06,Brake noise reported by driver,Low
T001707,V01068,2026-01-11,No major issue reported,Low
T001708,V01069,2026-01-18,Transmission feels delayed,High
T001709,V01069,2026-02-16,Transmission feels delayed,High
T001710,V01070,2026-02-18,Transmission feels delayed,High
T001711,V01073,2026-01-06,Check engine light is on,Low
T001712,V01074,2026-04-09,Oil pressure warning triggered,High
T001713,V01074,2026-04-27,Brake noise reported by driver,Low
T001714,V01074,2026-03-28,Brake noise reported by driver,Medium
T001715,V01075,2026-04-26,Oil pressure warning triggered,High
T001716,V01076,2026-03-24,No major issue reported,Medium
T001717,V01076,2026-02-19,Vehicle idle time unusually high,Low
T001718,V01076,2026-02-24,Vehicle idle time unusually high,Low
T001719,V01077,2026-02-25,Brake noise reported by driver,Medium
T001720,V01078,2026-04-03,Brake noise reported by driver,Medium
T001721,V01078,2026-01-07,Check engine light is on,Medium
T001722,V01079,2026-02-20,Vehicle idle time unusually high,Low
T001723,V01079,2026-03-15,Check engine light is on,Low
T001724,V01079,2026-03-08,Vehicle idle time unusually high,Low
T001725,V01079,2026-03-29,Reduced acceleration reported,Low
T001726,V01080,2026-04-27,No major issue reported,Low
T001727,V01082,2026-04-13,Brake noise reported by driver,Low
T001728,V01082,2026-02-12,Reduced acceleration reported,Low
T001729,V01083,2026-03-26,Check engine light is on,Medium
T001730,V01084,2026-03-28,Oil pressure warning triggered,High
T001731,V01084,2026-01-06,Vehicle overheating during route,High
T001732,V01085,2026-02-25,Vehicle idle time unusually high,Medium
T001733,V01088,2026-01-24,Oil pressure warning triggered,High
T001734,V01089,2026-03-25,Oil pressure warning triggered,High
T001735,V01089,2026-04-15,Vehicle idle time unusually high,Low
T001736,V01089,2026-01-27,Vehicle overheating during route,High
T001737,V01089,2026-01-24,Check engine light is on,Medium
T001738,V01090,2026-02-14,No major issue reported,Low
T001739,V01090,2026-01-30,Check engine light is on,Medium
T001740,V01091,2026-02-16,Battery warning light keeps appearing,Medium
T001741,V01092,2026-04-07,Vehicle overheating during route,High
T001742,V01094,2026-01-19,No major issue reported,Low
T001743,V01095,2026-04-12,Vehicle idle time unusually high,Medium
T001744,V01095,2026-03-04,Vehicle overheating during route,High
T001745,V01095,2026-04-22,Check engine light is on,Medium
T001746,V01097,2026-01-04,Vehicle idle time unusually high,Low
T001747,V01098,2026-01-11,Oil pressure warning triggered,High
T001748,V01098,2026-03-23,Brake noise reported by driver,Low
T001749,V01098,2026-02-06,Brake noise reported by driver,Low
T001750,V01102,2026-04-23,Vehicle idle time unusually high,Low
T001751,V01103,2026-01-13,Check engine light is on,Medium
T001752,V01104,2026-03-12,Oil pressure warning triggered,High
T001753,V01104,2026-02-24,Oil pressure warning triggered,High
T001754,V01104,2026-01-25,Transmission feels delayed,High
T001755,V01106,2026-02-14,No major issue reported,Low
T001756,V01107,2026-03-10,No major issue reported,Medium
T001757,V01107,2026-02-08,No major issue reported,Medium
T001758,V01109,2026-02-24,Oil pressure warning triggered,High
T001759,V01109,2026-03-09,Brake noise reported by driver,Low
T001760,V01109,2026-04-20,Check engine light is on,Low
T001761,V01111,2026-04-06,Battery warning light keeps appearing,Medium
T001762,V01111,2026-01-13,Oil pressure warning triggered,High
T001763,V01111,2026-01-12,Transmission feels delayed,High
T001764,V01112,2026-03-29,Vehicle idle time unusually high,Low
T001765,V01114,2026-03-11,Battery warning light keeps appearing,Low
T001766,V01114,2026-03-28,Check engine light is on,Low
T001767,V01115,2026-03-04,Check engine light is on,Medium
T001768,V01115,2026-01-28,Oil pressure warning triggered,High
T001769,V01116,2026-01-18,Vehicle overheating during route,High
T001770,V01117,2026-03-22,Brake noise reported by driver,Low
T001771,V01117,2026-02-14,Check engine light is on,Medium
T001772,V01117,2026-04-29,Oil pressure warning triggered,High
T001773,V01118,2026-04-19,Battery warning light keeps appearing,Low
T001774,V01119,2026-01-14,Vehicle idle time unusually high,Low
T001775,V01119,2026-04-11,Vehicle overheating during route,High
T001776,V01121,2026-03-01,Vehicle overheating during route,High
T001777,V01126,2026-01-14,Vehicle idle time unusually high,Low
T001778,V01126,2026-04-27,Brake noise reported by driver,Medium
T001779,V01127,2026-04-07,Reduced acceleration reported,Medium
T001780,V01128,2026-03-03,Check engine light is on,Low
T001781,V01129,2026-04-14,Brake noise reported by driver,Medium
T001782,V01130,2026-01-10,Vehicle idle time unusually high,Medium
T001783,V01131,2026-04-13,Vehicle idle time unusually high,Low
T001784,V01131,2026-02-02,Vehicle idle time unusually high,Medium
T001785,V01132,2026-02-20,Reduced acceleration reported,Low
T001786,V01132,2026-04-22,Check engine light is on,Low
T001787,V01133,2026-01-21,Vehicle overheating during route,High
T001788,V01133,2026-04-13,Transmission feels delayed,High
T001789,V01133,2026-01-18,Vehicle overheating during route,High
